Tourist_Spot,Address,Zipcode,latitude,longitude
47th Street - The Diamond District,"47th St. betw. Fifth & Sixth Aves. Manhattan, NY 10036, Midtown West",10036,40.7602619,-73.9932872
9/11 Memorial & Museum,"World Trade Center (museum: 180 Greenwich St.) Manhattan, NY 1000, Lower Manhattan",10007,40.7136487,-74.0087126
Abyssinian Baptist Church,"132 Odell Clark Place New York, NY 10030, Harlem",10030,40.8173411,-73.9433299
Alice Austen House Museum,"2 Hylan Blvd. Staten Island, NY 10305, Staten Island",10305,40.5944059,-74.0711359
Alice Tully Hall,"1941 Broadway Manhattan, NY 10023, Upper West Side",10023,40.7769059,-73.9800645
Alvin Ailey American Dance Theate,"405 W. 55th St. Manhattan, NY 10019, Midtown West",10019,40.7686973,-73.9918181
American Girl Place,"609 Fifth Ave. Manhattan, NY 10017, Midtown East",10017,40.7519846,-73.9697795
American Museum of Natural History,"Central Park West at 79th St. Manhattan, NY 10024, Upper West Side",10024,40.7859464,-73.97418739999999
Apollo Theater,"253 W. 125th St.  Manhattan, NY 10027, Harlem",10027,40.8138912,-73.96243270000001
arts>Brookfield Place,"230 Vesey St. Manhattan, NY 10281, Battery Park City",10281,40.7146,-74.015
Barclays Center,"620 Atlantic Ave. Brooklyn, NY 11217, Prospect Heights",11217,40.6815619,-73.9785952
Bartow-Pell Mansion Museum,"895 Shore Rd. Bronx, NY 10464, Pelham Bay",10464,40.864318,-73.7977928
Bateaux New York,"Pier 61, Chelsea Piers (23rd St. & Hudson River) Manhattan, NY 10011, Chelsea",10011,40.7464969,-74.0094471
Bronx Brewery,"856 East 136th Street NY 10454, South Bronx",10454,40.8022594,-73.9154069
Bronx Library Center,"310 E. Kingsbridge Rd. Bronx, NY 10458, Fordham",10458,40.8621792,-73.88601
Bronx Zoo,"2300 Southern Blvd. Bronx, NY 10460, Fordham",10460,40.841618,-73.8801301
Brooklyn Botanic Garden,"1000 Washington Ave. Brooklyn, NY 11225, Prospect Heights",11225,40.6648278,-73.9565551
Brooklyn Bridge,"Tillary St Brooklyn, NY 11201,Downtown Brooklyn",11201,40.6986772,-73.9859414
Brooklyn Heights Promenade,"Brooklyn-Queens Expressway Brooklyn , NY 11201, Brooklyn Heights",11201,40.6986772,-73.9859414
Brooklyn Historical Society,"128 Pierrepont St. Brooklyn, NY 11201, Brooklyn Heights",11201,40.6986772,-73.9859414
Brooklyn Navy Yard,"63 Flushing Ave, bldg 292, unit 300 (main office) Brooklyn, NY 11205, Navy Yard",11205,40.6945036,-73.9565551
Brooklyn Nets,"The Barclays Center, 620 Atlantic Ave. Brooklyn, NY 11217, Prospect Heights",11217,40.6815619,-73.9785952
Brooklyn Public Library,"Grand Army Plaza at Flatbush Ave Brooklyn, NY 11238, Park Slope",11238,40.6805029,-73.96243270000001
Calvary Cemetery,"49-02 Laurel Hill Blvd. Queens, NY 11377, Woodside",11377,40.74133339999999,-73.90364869999999
Carnegie Hall,"57th St. and Seventh Ave. Manhattan, NY 10019, Midtown West",10019,40.7686973,-73.9918181
Cathedral Church of St. John the Divine,"1047 Amsterdam Ave. Manhattan, NY 10025, Morningside Heights",10025,40.7999209,-73.96831019999999
Central Park Conservancy—Official Central Park Tours,"14 E. 60th St., 8th fl. New York, NY 10022, Upper East Side",10022,40.7593941,-73.9697795
Charles A. Dana Discovery Center/Harlem Meer,"106th to 110th Sts on the east side of the park Manhattan, NY 10029, Central Park",10029,40.79164069999999,-73.9447994
Chelsea Craft Brewing Company,"463 East 173rd Street NY 10457, The Bronx",10457,40.84413869999999,-73.8977693
Chelsea Piers Sports & Entertainment Complex,"23rd St. & Hudson River Park Manhattan, NY 10011, Chelsea",10011,40.7464969,-74.0094471
Chrysler Building,"405 Lexington Ave Manhattan, NY, Midtown East",10174,40.7517367,-73.9745547
Circle Line Downtown,"Pier 16 at S. St. Seaport Manhattan, NY 10038, Lower Manhattan",10038,40.7071498,-74.0021019
Circle Line Sightseeing Cruises,"Pier 83, 42nd St. and Twelfth Ave. Manhattan, NY 10036, Hells Kitchen",10036,40.7602619,-73.9932872
City Hall,"City Hall  Broadway and Murray St. Manhattan, NY 10007, Lower Manhattan",10007,40.7136487,-74.0087126
City Hall Park,"Broadway and Chambers St Manhattan, NY 10007, Lower Manhattan",10007,40.7136487,-74.0087126
Classic Harbor Line LLC,"Chelsea Piers, Pier 62 (22nd St. & Hudson River) Manhattan, NY 10011, Chelsea",10011,40.7464969,-74.0094471
Clove Lakes Park,"1150 Clove Rd. Staten Island, NY, Randall Manor",10301,40.6274394,-74.0946311
Coney Island Brewing Company,"1904 Surf Ave. Brooklyn, NY 11224, Coney Island",11224,40.5749261,-73.9859414
Coney Island Circus Sideshow,"Surf Avenue Brooklyn, NY 11224, Coney Island",11224,40.5749261,-73.9859414
Delacorte Theate,"Mid-park at 80th St Manhattan, NY 10024, Central Park",10024,40.7859464,-73.97418739999999
Douglaston Golf Course,"6320 Marathon Pkwy Queens, NY 11363, Bayside",11363,40.7728635,-73.74484369999999
