id,name,host_id,latitude,longitude,property_type,picture_url,room_type,accommodates,bedrooms,beds,price,number_of_reviews,review_scores_rating,host_identity_verified,host_is_superhost,host_response_rate,host_response_time,city,bathrooms,wifi,kitchen,smoke alarm,heating,tv,air conditioning,dryer,hot water,iron,shampoo,refrigerator,coffee,washer,oven,fire extinguisher,dedicated workspace,self check-in,first aid kit,free street parking,extra pillows and blankets,bathtub,pets allowed,gym,amenities_count,nearby_subway,nearby_tourist
16650612,Rental unit in New York · ★4.83 · Studio · 1 bed · 1 bath,24805629,40.76283,-73.98718,Entire rental unit,https://a0.muscache.com/pictures/99ebfaf5-92cf-43c2-abcc-6ece86380e41.jpg,Entire home/apt,2,1.0,1.0,170.0,6,4.83,t,f,0%,never,New York,1.0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,8,15,45
53892466,Loft in Brooklyn · ★4.67 · 1 bedroom · 1 bed · 1 bath,436547566,40.71152,-73.93714,Entire loft,https://a0.muscache.com/pictures/miso/Hosting-53892466/original/94335632-4d07-4032-838e-b1fe9ca0c7e5.jpeg,Entire home/apt,2,1.0,1.0,210.0,130,4.67,f,f,100%,within an hour,New York,1.0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,15,4,0
4047751,Rental unit in New York · 1 bedroom · 1 bed · 1 bath,16325217,40.79053,-73.97615,Entire rental unit,https://a0.muscache.com/pictures/53566637/a3cf5fe2_original.jpg,Entire home/apt,2,1.0,1.0,260.0,0,0,t,f,0%,never,New York,1.0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,9,5,8
18251681,Home in Brooklyn · ★4.84 · 2 bedrooms · 2 beds · 1 bath,22769654,40.69348,-73.96782,Entire home,https://a0.muscache.com/pictures/miso/Hosting-18251681/original/21cb313b-4c3e-4c8e-866c-7c34c3695896.jpeg,Entire home/apt,4,2.0,2.0,201.0,260,4.84,t,t,100%,within an hour,New York,1.0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,0,1,0,0,14,4,2
42672172,Rental unit in New York · ★4.48 · 1 bedroom · 1 bed · 1 shared bath,339778197,40.73412,-73.98862,Private room in rental unit,https://a0.muscache.com/pictures/ef1b34b0-453b-4912-857f-8cdb6b9946e1.jpg,Private room,2,1.0,1.0,102.0,164,4.48,t,f,80%,within an hour,New York,1.0,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,10,11,14
559572983981929450,Guest suite in Bronx · ★4.96 · 1 bedroom · 1 bed · 1 shared bath,424738135,40.88972,-73.85809,Private room in guest suite,https://a0.muscache.com/pictures/miso/Hosting-559572983981929450/original/b5dcc59b-6d42-4c2c-93e7-a89281db5ae6.jpeg,Private room,1,1.0,1.0,62.0,46,4.96,t,t,100%,within an hour,New York,1.0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,0,0,16,3,0
40181084,Rental unit in The Bronx · 1 bedroom · 1 bath,307784227,40.89173,-73.85882,Private room in rental unit,https://a0.muscache.com/pictures/ab7c4908-7353-47f5-8f1f-caf3e72036ab.jpg,Private room,2,1.0,1.0,60.0,0,0,t,f,0%,never,New York,1.0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0
840922922514708052,Rental unit in New York · 1 bedroom · 1 bed · 1 bath,78392262,40.77898793580879,-73.94846097020483,Entire rental unit,https://a0.muscache.com/pictures/miso/Hosting-840922922514708052/original/f3323546-2f09-4823-912d-2d62acca1ad1.jpeg,Entire home/apt,2,1.0,1.0,140.0,0,0,t,f,0%,never,New York,1.0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,9,4,5
52221919,Rental unit in New York · ★4.92 · 1 bedroom · 1 bed · 1 private bath,3486202,40.82202,-73.95601,Private room in rental unit,https://a0.muscache.com/pictures/d8b334c0-4212-4cdd-bd59-418d7de4eb42.jpg,Private room,2,1.0,1.0,170.0,13,4.92,t,t,100%,within a day,New York,1.0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,13,4,1
10786240,Rental unit in New York · 1 bedroom · 1 bed · 1 bath,55808233,40.75979,-73.99216,Private room in rental unit,https://a0.muscache.com/pictures/c101549a-9a20-474c-aa5e-32ee6ec3b02a.jpg,Private room,1,1.0,1.0,75.0,0,0,f,f,0%,never,New York,1.0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,9,13,53
4428854,Rental unit in Brooklyn · ★4.91 · 1 bedroom · 1 bed · 1 shared bath,1447684,40.72998,-73.95375,Private room in rental unit,https://a0.muscache.com/pictures/81752073/c206ee94_original.jpg,Private room,1,1.0,1.0,65.0,190,4.91,t,f,100%,within a few hours,New York,1.0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,8,2,2
16226219,Condo in Brooklyn · ★4.99 · 1 bedroom · 1 bed · 1 bath,59101644,40.71535921414625,-73.94537086129327,Entire condo,https://a0.muscache.com/pictures/miso/Hosting-16226219/original/0a9a7ef6-49c4-42e5-876f-d8ee4fed7dc4.jpeg,Entire home/apt,3,1.0,1.0,372.0,119,4.99,t,t,100%,within an hour,New York,1.0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,21,5,0
6269808,Rental unit in Brooklyn · 3 bedrooms · 4 beds · 2 baths,233161,40.6503,-73.97197,Entire rental unit,https://a0.muscache.com/pictures/78250742/21d68377_original.jpg,Entire home/apt,6,3.0,4.0,150.0,0,0,t,f,0%,never,New York,2.0,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,9,4,1
50406828,Rental unit in Brooklyn · ★4.55 · 1 bedroom · 1 bed · 1 shared bath,26377263,40.65876,-73.93578,Private room in rental unit,https://a0.muscache.com/pictures/68816962/613bfbfc_original.jpg,Private room,2,1.0,1.0,48.0,11,4.55,t,t,96%,within a few hours,New York,1.0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,0,0,1,0,1,0,0,14,0,1
47942202,Home in Brooklyn · ★4.67 · 1 bedroom · 1 bed · 1 bath,43825074,40.68693,-73.87378,Private room in home,https://a0.muscache.com/pictures/a47643f9-d8f1-4dc4-bbab-2a6654cef02b.jpg,Private room,2,1.0,1.0,38.0,3,4.67,f,f,100%,within an hour,New York,1.0,1,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,8,4,0
810864321033852866,Rental unit in Queens · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,497598466,40.76860993617053,-73.93428463682206,Private room in rental unit,https://a0.muscache.com/pictures/miso/Hosting-810864321033852866/original/b6895c82-e3e0-4b93-9e2d-dbaf1a4fa4f3.jpeg,Private room,1,1.0,1.0,110.0,13,5.0,t,f,100%,within an hour,New York,1.0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1,0,0,17,0,0
615904441638758447,Home in Bronx · ★4.45 · 1 bedroom · 1 bed · 1 shared bath,407949665,40.90226,-73.84129,Private room in home,https://a0.muscache.com/pictures/9a092df1-92c7-48f2-a4e9-47d891c49dcf.jpg,Private room,2,1.0,1.0,68.0,11,4.45,t,f,100%,within an hour,New York,1.0,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0,0,13,1,0
808296073504455291,Rental unit in Brooklyn · ★4.40 · 2 bedrooms · 3 beds · 1 bath,392191524,40.687,-73.91127,Entire rental unit,https://a0.muscache.com/pictures/4775f686-48da-4c5e-b17d-2de965e19aa4.jpg,Entire home/apt,5,2.0,3.0,211.0,5,4.4,f,f,100%,within an hour,New York,1.0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0,17,6,0
