,host_id,host_since,host_verifications,host_total_listings_count,host_is_superhost,host_response_rate,neighbourhood
0,93231383,2016-09-03,"['email', 'phone']",3.0,t,96%,
3,398622781,2021-04-25,"['email', 'phone']",9.0,f,100%,"Bronx, New York, United States"
10,50997424,2015-12-10,"['email', 'phone']",10.0,f,100%,
17,297311545,2019-09-23,"['email', 'phone']",4.0,f,100%,"Brooklyn, New York, United States"
20,234174616,2019-01-03,"['email', 'phone']",1.0,f,100%,
21,193626078,2018-06-05,"['email', 'phone']",10.0,t,100%,
28,156583372,2017-10-28,['phone'],8.0,t,100%,"Bronx, New York, United States"
36,500407084,2023-02-10,"['email', 'phone']",1.0,t,100%,"Queens, New York, United States"
37,141645843,2017-07-21,"['email', 'phone', 'work_email']",9.0,f,100%,
39,246351353,2019-03-02,"['email', 'phone']",8.0,t,100%,"Brooklyn, New York, United States"
40,20438455,2014-08-23,"['email', 'phone']",2.0,t,100%,"Brooklyn, New York, United States"
42,413243090,2021-07-16,"['email', 'phone']",4.0,t,100%,
46,123048179,2017-03-28,"['email', 'phone']",4.0,f,89%,
48,471023828,2022-07-22,"['email', 'phone']",1.0,t,67%,"Brooklyn, New York, United States"
49,447616717,2022-03-02,"['email', 'phone']",6.0,f,100%,"Bronx, New York, United States"
50,75034279,2016-05-31,"['email', 'phone']",5.0,t,100%,"Brooklyn, New York, United States"
52,12126255,2014-02-10,"['email', 'phone']",1.0,t,100%,
53,178327761,2018-03-13,"['email', 'phone', 'work_email']",1.0,f,80%,
54,381486556,2020-12-24,['phone'],9.0,t,100%,
60,511952222,2023-04-26,"['email', 'phone']",3.0,t,100%,"Brooklyn, New York, United States"
63,33436431,2015-05-15,"['email', 'phone', 'work_email']",1.0,t,100%,"Brooklyn, New York, United States"
64,492034586,2022-12-19,"['email', 'phone']",3.0,f,100%,
66,5735865,2013-04-02,"['email', 'phone']",57.0,f,95%,
86,505617832,2023-03-16,['phone'],1.0,f,93%,"The Bronx, New York, United States"
87,140220933,2017-07-13,"['email', 'phone']",1.0,f,100%,
88,446808911,2022-02-25,['phone'],1.0,t,100%,
89,422238549,2021-09-09,"['email', 'phone']",3.0,,100%,"Brooklyn, New York, United States"
90,474109795,2022-08-09,['phone'],2.0,f,,"Queens, New York, United States"
91,101643312,2016-10-28,"['email', 'phone', 'work_email']",2.0,f,,"Queens, New York, United States"
93,387699039,2021-02-07,['phone'],2.0,f,100%,
95,17925599,2014-07-10,"['email', 'phone']",1.0,t,100%,"Queens, New York, United States"
96,244733416,2019-02-22,['phone'],1.0,f,,
97,88685097,2016-08-08,"['email', 'phone']",3.0,f,100%,"Queens, New York, United States"
98,337846634,2020-02-20,['phone'],5.0,t,100%,"Queens, New York, United States"
100,471543501,2022-07-25,"['email', 'phone']",1.0,f,100%,"Brooklyn, New York, United States"
101,158757567,2017-11-14,"['email', 'phone']",1.0,t,100%,
102,128879778,2017-05-04,"['email', 'phone']",5.0,f,100%,
107,483007321,2022-10-10,"['email', 'phone']",1.0,f,,
108,125620407,2017-04-13,"['email', 'phone']",14.0,f,99%,
116,508387994,2023-04-03,"['email', 'phone']",2.0,t,100%,"Queens, New York, United States"
117,432628336,2021-11-19,"['email', 'phone']",1.0,t,100%,"Queens, New York, United States"
118,235971419,2019-01-11,['phone'],1.0,f,44%,
119,10836962,2013-12-27,"['email', 'phone']",1.0,t,100%,"Bronx, New York, United States"
120,1384388,2011-11-08,"['email', 'phone']",3.0,t,100%,"Brooklyn, New York, United States"
121,230108889,2018-12-10,"['email', 'phone']",3.0,f,100%,"Queens, New York, United States"
123,464102537,2022-06-13,"['email', 'phone']",1.0,t,100%,"Queens, New York, United States"
124,780477,2011-07-05,"['email', 'phone']",3.0,t,100%,"Brooklyn, New York, United States"
125,185013240,2018-04-18,"['email', 'phone']",13.0,t,100%,
129,174440968,2018-02-20,"['email', 'phone']",4.0,f,,"Queens, New York, United States"
130,303176656,2019-10-18,"['email', 'phone']",2.0,f,100%,"Brooklyn, New York, United States"
131,119936528,2017-03-09,['phone'],5.0,f,90%,
132,454029808,2022-04-12,"['email', 'phone']",6.0,f,91%,
135,123063094,2017-03-28,"['email', 'phone']",4.0,t,100%,"The Bronx, New York, United States"
136,39760852,2015-07-27,"['email', 'phone', 'work_email']",5.0,f,100%,
137,5099616,2013-02-15,"['email', 'phone']",4.0,f,100%,"Brooklyn, New York, United States"
138,479639290,2022-09-15,"['email', 'phone']",5.0,f,100%,"Queens, New York, United States"
142,281842543,2019-08-02,"['email', 'phone']",3.0,f,100%,
143,55948559,2016-01-24,"['email', 'phone']",14.0,t,94%,"Bronx, New York, United States"
148,358089614,2020-07-23,"['email', 'phone']",2.0,t,100%,
150,19143974,2014-07-30,"['email', 'phone']",1.0,t,100%,"Staten Island , New York, United States"
151,1499484,2011-12-13,"['email', 'phone']",4.0,f,100%,"Brooklyn, New York, United States"
152,210040180,2018-08-16,['phone'],13.0,f,94%,"Queens, New York, United States"
154,476583892,2022-08-24,['phone'],16.0,f,93%,
163,479755663,2022-09-16,"['email', 'phone']",4.0,t,95%,
167,78801372,2016-06-20,"['email', 'phone']",1.0,t,100%,"Brooklyn, New York, United States"
168,211136294,2018-08-22,"['email', 'phone']",18.0,f,100%,"Bronx, New York, United States"
175,494743523,2023-01-07,['phone'],2.0,f,100%,
176,164297725,2017-12-26,"['email', 'phone']",2.0,t,100%,
178,14898658,2014-04-29,"['email', 'phone']",27.0,f,,"Brookly , New York, United States"
181,39534827,2015-07-25,['phone'],2.0,f,100%,"Brooklyn, New York, United States"
182,687361,2011-06-10,"['email', 'phone']",2.0,f,80%,
184,2219255,2012-04-25,"['email', 'phone']",15.0,f,100%,
192,165853174,2018-01-04,"['email', 'phone', 'work_email']",2.0,t,100%,
193,494837751,2023-01-07,"['email', 'phone']",15.0,t,100%,
194,174786681,2018-02-22,"['email', 'phone']",1.0,t,100%,"Staten Island, New York, United States"
195,504078967,2023-03-05,"['email', 'phone']",1.0,t,100%,"Queens, New York, United States"
196,403062824,2021-05-23,"['email', 'phone']",3.0,f,100%,"Queens, New York, United States"
198,15811194,2014-05-21,"['email', 'phone']",4.0,t,100%,"Brooklyn, New York, United States"
199,169414764,2018-01-23,"['email', 'phone']",1.0,f,100%,"Queens, New York, United States"
200,165292438,2018-01-01,"['email', 'phone']",2.0,t,100%,"Queens, New York, United States"
201,232251881,2018-12-24,"['email', 'phone', 'work_email']",10.0,f,95%,"Queens, New York, United States"
204,277249537,2019-07-18,['phone'],4.0,f,90%,
205,36935244,2015-06-28,"['email', 'phone']",6.0,f,95%,"Queens, New York, United States"
210,454216204,2022-04-14,['phone'],6.0,f,,"Queens, New York, United States"
214,495879533,2023-01-13,['phone'],3.0,f,20%,
216,25372297,2014-12-29,"['email', 'phone']",6.0,f,100%,"Brooklyn, New York, United States"
217,413855662,2021-07-19,"['email', 'phone']",5.0,,,
218,241454071,2019-02-06,"['email', 'phone']",7.0,t,100%,
222,509436874,2023-04-10,"['email', 'phone']",6.0,f,55%,"Brooklyn, New York, United States"
223,8997485,2013-09-22,"['email', 'phone']",10.0,f,100%,
225,363928053,2020-08-23,"['email', 'phone']",10.0,f,86%,
233,42561290,2015-08-26,"['email', 'phone']",5.0,f,94%,"Brooklyn, New York, United States"
237,13891989,2014-04-04,"['email', 'phone']",2.0,f,100%,"The Bronx, New York, United States"
238,3223938,2012-08-11,"['email', 'phone']",691.0,f,100%,
757,56252,2009-11-21,"['email', 'phone']",2.0,t,100%,
758,445893943,2022-02-19,"['email', 'phone']",9.0,f,98%,"Brooklyn, New York, United States"
760,44924379,2015-09-23,"['email', 'phone']",3.0,f,96%,
763,123634626,2017-03-31,"['email', 'phone']",3.0,f,90%,"Brooklyn, New York, United States"
765,533750473,2023-08-25,['phone'],1.0,f,100%,"Brooklyn, New York, United States"
766,351830322,2020-06-25,['phone'],2.0,f,33%,
767,199720771,2018-07-03,"['email', 'phone']",5.0,f,90%,"Bronx, New York, United States"
768,742100,2011-06-25,"['email', 'phone']",2.0,f,100%,"The Bronx, New York, United States"
770,219517861,2018-10-08,"['email', 'phone', 'work_email']",758.0,f,99%,"Brooklyn, New York, United States"
844,9263105,2013-10-06,"['email', 'phone', 'work_email']",4.0,t,100%,"Staten Island, New York, United States"
847,47430022,2015-10-25,"['email', 'phone']",8.0,t,100%,"Brooklyn, New York, United States"
853,471461245,2022-07-25,"['email', 'phone']",2.0,t,100%,"Queens, New York, United States"
854,304270755,2019-10-24,"['email', 'phone']",1.0,t,,"Queens, New York, United States"
855,244082709,2019-02-19,"['email', 'phone']",8.0,t,100%,"Queens, New York, United States"
860,398867059,2021-04-27,"['email', 'phone']",2.0,t,100%,"Queens, New York, United States"
862,64542737,2016-03-26,"['email', 'phone', 'work_email']",4.0,t,100%,"Brooklyn, New York, United States"
863,464780709,2022-06-17,"['email', 'phone']",1.0,t,100%,
864,473978913,2022-08-08,"['email', 'phone']",2.0,t,95%,"Queens, New York, United States"
866,306592549,2019-11-03,"['email', 'phone']",7.0,t,100%,"Queens, New York, United States"
868,465545416,2022-06-22,"['email', 'phone']",3.0,t,97%,"Brooklyn, New York, United States"
871,282655,2010-11-09,"['email', 'phone']",6.0,f,100%,"Brooklyn, New York, United States"
876,521073358,2023-06-20,"['email', 'phone']",3.0,f,,
879,50682735,2015-12-06,['phone'],3.0,t,100%,"Queens, New York, United States"
881,339125903,2020-02-27,"['email', 'phone']",1.0,f,44%,
882,92178097,2016-08-27,"['email', 'phone']",4.0,f,100%,
886,21891606,2014-09-28,"['email', 'phone']",3.0,f,,
887,40124500,2015-07-31,"['email', 'phone']",2.0,t,100%,"Brooklyn, New York, United States"
888,270123215,2019-06-20,"['email', 'phone']",1.0,f,,
889,18049970,2014-07-13,"['email', 'phone']",7.0,f,90%,
890,21228368,2014-09-11,"['email', 'phone']",6.0,f,100%,
891,126242287,2017-04-17,"['email', 'phone', 'work_email']",4.0,f,100%,"Brooklyn, New York, United States"
892,487300451,2022-11-11,['phone'],1.0,f,100%,"The Bronx, New York, United States"
893,71717596,2016-05-12,"['email', 'phone']",2.0,f,100%,
894,172103271,2018-02-07,"['email', 'phone']",4.0,t,100%,
897,526355093,2023-07-17,['phone'],2.0,f,100%,"Queens, New York, United States"
899,483976430,2022-10-17,"['email', 'phone']",4.0,f,100%,
903,455175874,2022-04-20,"['email', 'phone']",5.0,f,0%,
904,45600001,2015-10-02,"['email', 'phone']",6.0,f,27%,"Queens, New York, United States"
908,412935934,2021-07-14,"['email', 'phone']",2.0,f,86%,
910,395015552,2021-03-31,['phone'],5.0,f,90%,
913,105497516,2016-11-28,"['email', 'phone']",8.0,t,100%,"Queens, New York, United States"
914,368055398,2020-09-17,['phone'],3.0,t,100%,"Brooklyn, New York, United States"
915,79651295,2016-06-24,"['email', 'phone']",9.0,t,100%,
920,404412943,2021-05-30,"['email', 'phone']",3.0,f,100%,
921,8978839,2013-09-22,"['email', 'phone', 'work_email']",1.0,t,85%,"New York, United States"
922,12246186,2014-02-14,"['email', 'phone', 'work_email']",7.0,t,100%,
927,178272943,2018-03-13,"['email', 'phone']",5.0,t,100%,"Queens, New York, United States"
930,98726662,2016-10-07,['phone'],7.0,f,100%,"Brooklyn , New York, United States"
934,57339374,2016-02-03,"['email', 'phone']",2.0,f,100%,"Brooklyn, New York, United States"
935,376119631,2020-11-18,"['email', 'phone']",1.0,f,100%,"Brooklyn, New York, United States"
936,239503360,2019-01-28,"['email', 'phone']",9.0,t,100%,
938,2230419,2012-04-26,"['email', 'phone']",3.0,t,100%,"Brooklyn , New York, United States"
939,271561133,2019-06-26,"['email', 'phone']",4.0,f,100%,"Brooklyn, New York, United States"
942,227901354,2018-11-27,"['email', 'phone']",1.0,f,,
943,474157365,2022-08-09,['phone'],1.0,f,94%,
944,133197429,2017-06-03,['phone'],4.0,t,100%,
948,92703158,2016-08-30,"['email', 'phone']",1.0,f,100%,"Brooklyn, New York, United States"
949,174093944,2018-02-18,"['email', 'phone']",4.0,f,,"Brooklyn, New York, United States"
951,1537501,2011-12-26,"['email', 'phone']",5.0,f,100%,
953,236334741,2019-01-13,"['email', 'phone']",3.0,f,100%,"Staten Island, New York, United States"
955,240907115,2019-02-03,"['email', 'phone']",8.0,t,100%,
961,399098718,2021-04-28,"['email', 'phone']",1.0,f,90%,
962,109853394,2017-01-04,"['email', 'phone']",6.0,f,,"Brooklyn, New York, United States"
963,45503479,2015-10-01,"['email', 'phone']",1.0,f,85%,
964,127570065,2017-04-25,"['email', 'phone']",1.0,t,100%,"Queens, New York, United States"
965,244817841,2019-02-22,"['email', 'phone']",9.0,t,100%,
974,36573096,2015-06-23,"['email', 'phone']",5.0,t,100%,"Queens, New York, United States"
975,45045974,2015-09-25,"['email', 'phone']",7.0,f,,"Brooklyn, New York, United States"
976,191085997,2018-05-22,"['email', 'phone']",3.0,f,100%,"Bronx, New York, United States"
978,148525638,2017-08-31,"['email', 'phone', 'work_email']",4.0,t,100%,"The Bronx, New York, United States"
980,308316618,2019-11-09,"['email', 'phone']",12.0,f,100%,
982,49101398,2015-11-15,"['email', 'phone']",4.0,t,100%,"Brooklyn, New York, United States"
985,393595369,2021-03-21,"['email', 'phone']",1.0,t,100%,"The Bronx, New York, United States"
986,444548275,2022-02-10,['phone'],2.0,t,89%,
988,312697286,2019-11-27,"['email', 'phone']",4.0,t,100%,"Brooklyn, New York, United States"
991,39277795,2015-07-22,"['email', 'phone']",8.0,f,100%,"Brooklyn, New York, United States"
994,4509849,2012-12-27,"['email', 'phone']",3.0,f,100%,
997,143168311,2017-07-29,"['email', 'phone', 'work_email']",6.0,f,100%,"The Bronx, New York, United States"
999,438862630,2022-01-04,"['email', 'phone']",1.0,f,100%,
1000,192874240,2018-06-01,"['email', 'phone']",3.0,t,100%,
1003,123719570,2017-04-01,['phone'],1.0,f,100%,"Staten Island, New York, United States"
1004,84765662,2016-07-19,"['email', 'phone']",1.0,f,100%,
1005,185022050,2018-04-18,['phone'],2.0,t,100%,"Brooklyn, New York, United States"
1007,115827173,2017-02-10,"['email', 'phone']",4.0,t,100%,
1008,447754,2011-03-17,"['email', 'phone']",7.0,f,90%,
1009,103450258,2016-11-12,"['email', 'phone']",6.0,,100%,"Queens, New York, United States"
1012,115084419,2017-02-05,"['email', 'phone']",4.0,f,56%,"Brooklyn, New York, United States"
1013,466889396,2022-06-30,['phone'],2.0,f,33%,
1015,89680730,2016-08-13,"['email', 'phone', 'work_email']",4.0,f,80%,"Brooklyn, New York, United States"
1018,83616984,2016-07-13,"['email', 'phone']",1.0,t,,"Corona , New York, United States"
